,name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
560,Lume,69.0,70.0,1.0,-1.0
561,Far Cry 3,88.0,80.0,8.0,8.0
562,Arx Fatalis,77.0,85.0,8.0,-8.0
563,Bohemian Killing,55.0,81.0,26.0,-26.0
564,Anomaly Defenders,70.0,75.0,5.0,-5.0
565,The Jackbox Party Pack 6,75.0,80.0,5.0,-5.0
566,ZOMBI,65.0,79.0,14.0,-14.0
567,Fire Emblem Fates: Birthright,86.0,81.0,5.0,5.0
568,Battlezone,66.0,69.0,3.0,-3.0
569,Call of Duty: WWII,77.0,73.0,4.0,4.0
570,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,76.0,76.0,0.0,0.0
571,Shu,85.0,70.0,15.0,15.0
572,Poker Night 2,75.0,80.0,5.0,-5.0
573,Call of Duty: Modern Warfare 3,85.0,86.0,1.0,-1.0
574,Tales of Vesperia: Definitive Edition,81.0,82.0,1.0,-1.0
575,Back to the Future: The Game,74.0,70.0,4.0,4.0
576,SUPERHOT VR,85.0,66.0,19.0,19.0
577,Tomb Raider: Definitive Edition,86.0,78.0,8.0,8.0
578,Police Stories,75.0,78.0,3.0,-3.0
579,Lara Croft and the Temple of Osiris,73.0,83.0,10.0,-10.0
580,Test Drive Unlimited 2,72.0,79.0,7.0,-7.0
581,Resident Evil 7: Biohazard,85.0,77.0,8.0,8.0
582,Gemini: Heroes Reborn,54.0,63.0,9.0,-9.0
583,PixelJunk Monsters Ultimate,72.0,80.0,8.0,-8.0
584,League of Legends,78.0,76.0,2.0,2.0
585,Imperator: Rome,76.0,74.0,2.0,2.0
586,Clandestine,69.0,62.0,7.0,7.0
587,Total War: ROME II - Emperor Edition,76.0,68.0,8.0,8.0
588,SWORD ART ONLINE: Fatal Bullet,66.0,65.0,1.0,1.0
589,Rogue Galaxy,83.0,76.0,7.0,7.0
590,Audiosurf 2,76.0,90.0,14.0,-14.0
591,STAR WARS: The Force Unleashed II,59.0,61.0,2.0,-2.0
592,Insurgency: Sandstorm,78.0,80.0,2.0,-2.0
593,Fire Emblem: Shadow Dragon,81.0,81.0,0.0,0.0
594,Hearts of Iron 2 Complete,83.0,76.0,7.0,7.0
595,Clutch,51.0,72.0,21.0,-21.0
596,World War Z (2019),70.0,66.0,4.0,4.0
597,Soldiers: Heroes of World War II,77.0,73.0,4.0,4.0
598,Arizona Sunshine,81.0,75.0,6.0,6.0
599,Puzzle Agent 2,63.0,68.0,5.0,-5.0
600,Assassin's Creed Unity,71.0,80.0,9.0,-9.0
601,FINAL FANTASY TYPE-0 HD,69.0,62.0,7.0,7.0
602,F1 2018,84.0,81.0,3.0,3.0
603,Fallout 4 - Far Harbor,77.0,80.0,3.0,-3.0
604,STEINS;GATE ELITE,86.0,76.0,10.0,10.0
605,Helldorado,65.0,78.0,13.0,-13.0
606,GoldenEye 007 (1997),96.0,88.0,8.0,8.0
607,Journey,92.0,85.0,7.0,7.0
608,POSTAL 2,59.0,76.0,17.0,-17.0
609,Grand Theft Auto IV: The Ballad of Gay Tony,88.0,80.0,8.0,8.0
610,King's Bounty: Armored Princess,82.0,74.0,8.0,8.0
611,Tenchu Z,56.0,76.0,20.0,-20.0
612,Neverwinter,74.0,72.0,2.0,2.0
613,Offspring Fling!,79.0,81.0,2.0,-2.0
614,BloodRayne,65.0,72.0,7.0,-7.0
615,A Game of Dwarves,60.0,73.0,13.0,-13.0
616,White Night,68.0,66.0,2.0,2.0
617,RAGE 2,71.0,71.0,0.0,0.0
618,Devil May Cry 3: Dante's Awakening,78.0,80.0,2.0,-2.0
619,Octopath Traveler,82.0,80.0,2.0,2.0
620,007 Legends,37.0,78.0,41.0,-41.0
621,Sacrifice,89.0,77.0,12.0,12.0
622,Life is Feudal: Your Own,63.0,71.0,8.0,-8.0
623,Gears of War,90.0,78.0,12.0,12.0
624,Elemental: Fallen Enchantress,78.0,82.0,4.0,-4.0
