,name,metacritic,Predicted Metacritic Score,absolute_error,relative_error
256,Wolfenstein: The Old Blood,76.0,72.0,4.0,4.0
257,Grand Theft Auto IV: Complete Edition,94.0,72.0,22.0,22.0
258,Men of War: Red Tide,77.0,73.0,4.0,4.0
259,Kingdom Hearts Re:Chain of Memories,68.0,81.0,13.0,-13.0
260,Sleeping Dogs,81.0,76.0,5.0,5.0
261,Fable: The Lost Chapters,83.0,89.0,6.0,-6.0
262,King Arthur's Gold,81.0,78.0,3.0,3.0
263,The Dream Machine: Chapter 1 & 2,75.0,75.0,0.0,0.0
264,Warhammer: End Times - Vermintide,79.0,64.0,15.0,15.0
265,Rico,60.0,76.0,16.0,-16.0
266,TimeShift,71.0,89.0,18.0,-18.0
267,Sonic Mania,85.0,77.0,8.0,8.0
268,Stories Untold,81.0,79.0,2.0,2.0
269,Brut@l,66.0,71.0,5.0,-5.0
270,GoD Factory: Wingmen,76.0,59.0,17.0,17.0
271,Recettear: An Item Shop's Tale,82.0,73.0,9.0,9.0
272,Moons of Madness,65.0,72.0,7.0,-7.0
273,Prey (2006),83.0,59.0,24.0,24.0
274,Dark Souls III: The Ringed City,83.0,82.0,1.0,1.0
275,Devil's Hunt,47.0,70.0,23.0,-23.0
276,Avadon: The Black Fortress,75.0,81.0,6.0,-6.0
277,Dark Souls III,89.0,89.0,0.0,0.0
278,Space Hack,63.0,81.0,18.0,-18.0
279,Cat Quest II,77.0,57.0,20.0,20.0
280,System Shock,85.0,92.0,7.0,-7.0
281,Shattered Haven,59.0,79.0,20.0,-20.0
282,Control,84.0,82.0,2.0,2.0
283,Steel Storm: Burning Retribution,55.0,76.0,21.0,-21.0
284,Trine 2: Complete Story,84.0,80.0,4.0,4.0
285,TurnOn,67.0,78.0,11.0,-11.0
286,Action Henk,74.0,65.0,9.0,9.0
287,Jump Force,59.0,81.0,22.0,-22.0
288,Evil Genius,75.0,86.0,11.0,-11.0
289,Untitled Goose Game,80.0,74.0,6.0,6.0
290,Ori and the Blind Forest: Definitive Edition,88.0,88.0,0.0,0.0
291,LocoRoco,83.0,90.0,7.0,-7.0
292,UNCHARTED: Drake's Fortune,88.0,78.0,10.0,10.0
293,Tomb Raider: Underworld,80.0,83.0,3.0,-3.0
294,Legacy of Kain: Soul Reaver 2,77.0,70.0,7.0,7.0
295,Thief II: The Metal Age,87.0,92.0,5.0,-5.0
296,Kraven Manor,58.0,68.0,10.0,-10.0
297,Knights And Bikes,80.0,81.0,1.0,-1.0
298,Tom Clancy's Rainbow Six 3 Gold,85.0,80.0,5.0,5.0
299,The Infectious Madness of Doctor Dekker,78.0,66.0,12.0,12.0
300,DmC: Devil May Cry: Definitive Edition,83.0,74.0,9.0,9.0
301,Redeemer,64.0,83.0,19.0,-19.0
302,The Inner World,72.0,75.0,3.0,-3.0
303,Tiny Troopers,57.0,74.0,17.0,-17.0
304,Baldur's Gate: Enhanced Edition,78.0,78.0,0.0,0.0
305,Rome: Total War - Collection,92.0,82.0,10.0,10.0
306,Dark Void,57.0,66.0,9.0,-9.0
307,Onimusha: Warlords,86.0,70.0,16.0,16.0
308,LEGO Batman,80.0,63.0,17.0,17.0
309,The Count Lucanor,78.0,80.0,2.0,-2.0
310,Burnout Revenge,89.0,83.0,6.0,6.0
311,Chuchel,80.0,79.0,1.0,1.0
312,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",80.0,80.0,0.0,0.0
313,Feudal Alloy,76.0,81.0,5.0,-5.0
314,The Book of Unwritten Tales 2,80.0,75.0,5.0,5.0
315,Spate,61.0,59.0,2.0,2.0
316,Lords of Xulima,71.0,73.0,2.0,-2.0
317,God Eater 3,72.0,84.0,12.0,-12.0
318,Hawken,73.0,66.0,7.0,7.0
319,Fade to Silence,56.0,80.0,24.0,-24.0
320,Pacific Storm Allies,60.0,73.0,13.0,-13.0
321,Destiny 2: Shadowkeep,75.0,80.0,5.0,-5.0
322,Deus Ex: Human Revolution - Director's Cut,91.0,89.0,2.0,2.0
323,FAR: Lone Sails,84.0,87.0,3.0,-3.0
324,Uurnog Uurnlimited,74.0,67.0,7.0,7.0
325,Need for Speed Payback,61.0,83.0,22.0,-22.0
326,Kathy Rain,77.0,73.0,4.0,4.0
327,God of War (2005),94.0,92.0,2.0,2.0
328,LEGO Batman 3: Beyond Gotham,74.0,80.0,6.0,-6.0
329,Just Cause 4,68.0,66.0,2.0,2.0
330,Pinball FX2,84.0,80.0,4.0,4.0
331,BloodRayne 2,67.0,72.0,5.0,-5.0
332,Gran Turismo 4,89.0,87.0,2.0,2.0
333,Everything,78.0,75.0,3.0,3.0
334,The Legend of Zelda: A Link Between Worlds,91.0,90.0,1.0,1.0
335,Shadowgrounds,74.0,64.0,10.0,10.0
336,Sang-Froid - Tales of Werewolves,79.0,75.0,4.0,4.0
337,STAR OCEAN: INTEGRITY AND FAITHLESSNESS,58.0,75.0,17.0,-17.0
338,Splice,70.0,69.0,1.0,1.0
339,RUINER,78.0,82.0,4.0,-4.0
340,Army Men RTS,67.0,65.0,2.0,2.0
341,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,84.0,81.0,3.0,3.0
342,Duskers,83.0,79.0,4.0,4.0
343,Terrian Saga: KR-17,83.0,72.0,11.0,11.0
344,The Sexy Brutale,83.0,80.0,3.0,3.0
345,The Walking Dead: Season 1,92.0,66.0,26.0,26.0
346,Firefall,60.0,70.0,10.0,-10.0
347,Planetary Annihilation,62.0,70.0,8.0,-8.0
348,Sonic Advance,85.0,90.0,5.0,-5.0
349,Predator: Hunting Grounds,59.0,80.0,21.0,-21.0
350,Battlefleet Gothic: Armada 2,77.0,68.0,9.0,9.0
351,Marc Ecko's Getting Up: Contents Under Pressure,69.0,80.0,11.0,-11.0
352,X-Men Arcade,67.0,80.0,13.0,-13.0
353,Kingdoms and Castles,72.0,65.0,7.0,7.0
354,Battlefield: Bad Company 2 - Vietnam,86.0,78.0,8.0,8.0
355,Lara Croft and the Guardian of Light,82.0,83.0,1.0,-1.0
356,Hostile Waters: Antaeus Rising,80.0,77.0,3.0,3.0
357,Mario & Luigi: Partners in Time,86.0,81.0,5.0,5.0
358,Blocks That Matter,72.0,70.0,2.0,2.0
359,NaissanceE,66.0,75.0,9.0,-9.0
360,Metroid Prime,97.0,78.0,19.0,19.0
361,Heat Signature,79.0,74.0,5.0,5.0
362,Her Majesty's SPIFFING,60.0,79.0,19.0,-19.0
363,Rogue Stormers,68.0,69.0,1.0,-1.0
364,FlatOut 4: Total Insanity,52.0,79.0,27.0,-27.0
365,Tidalis,75.0,76.0,1.0,-1.0
366,Star Wars: Battlefront,76.0,80.0,4.0,-4.0
367,Wargame: European Escalation,81.0,81.0,0.0,0.0
368,Overcooked! 2,82.0,80.0,2.0,2.0
369,Gunpoint,83.0,68.0,15.0,15.0
370,Sacred,74.0,81.0,7.0,-7.0
371,Fallout 4: Wasteland Workshop,53.0,81.0,28.0,-28.0
372,Phoenix Wright: Ace Attorney - Dual Destinies,83.0,88.0,5.0,-5.0
373,Two Worlds II,76.0,77.0,1.0,-1.0
374,Forza Horizon 3,88.0,67.0,21.0,21.0
375,Disciples II: Rise of the Elves,80.0,86.0,6.0,-6.0
376,The Crew,71.0,83.0,12.0,-12.0
377,Patrician III,75.0,66.0,9.0,9.0
378,Resident Evil 3,80.0,86.0,6.0,-6.0
379,Uncharted 4: A Thief’s End,93.0,90.0,3.0,3.0
380,Yesterday Origins,74.0,70.0,4.0,4.0
381,Crowntakers,70.0,73.0,3.0,-3.0
382,Dementium II HD,37.0,73.0,36.0,-36.0
383,Slime Rancher,81.0,73.0,8.0,8.0
384,The Red Strings Club,80.0,76.0,4.0,4.0
385,Valkyrie Profile,81.0,76.0,5.0,5.0
386,Stronghold HD,81.0,85.0,4.0,-4.0
387,Medieval II: Total War,88.0,81.0,7.0,7.0
388,Nancy Drew: Legend of the Crystal Skull,79.0,71.0,8.0,8.0
389,F1 2010,84.0,66.0,18.0,18.0
390,Outer Wilds,84.0,74.0,10.0,10.0
391,Gray Matter,72.0,71.0,1.0,1.0
392,Nether: Resurrected,57.0,64.0,7.0,-7.0
393,EyeToy: Play,80.0,80.0,0.0,0.0
394,Battlefleet Gothic: Armada,77.0,68.0,9.0,9.0
395,RIFT,84.0,83.0,1.0,1.0
396,Zenith,57.0,74.0,17.0,-17.0
397,Windforge,53.0,78.0,25.0,-25.0
398,JumpJet Rex,76.0,79.0,3.0,-3.0
399,The Witcher 3: Game of the Year,92.0,71.0,21.0,21.0
400,Jet Li: Rise to Honor,68.0,84.0,16.0,-16.0
401,Zombie Driver,60.0,80.0,20.0,-20.0
402,Wargame: Red Dragon,78.0,81.0,3.0,-3.0
403,Stick it to The Man!,83.0,75.0,8.0,8.0
404,Fallout 4,84.0,89.0,5.0,-5.0
405,Black Mirror II,71.0,79.0,8.0,-8.0
406,Titan Quest: Immortal Throne,80.0,66.0,14.0,14.0
407,ROME: Total War,88.0,83.0,5.0,5.0
408,Rocksmith,78.0,75.0,3.0,3.0
409,Takedown: Red Sabre,34.0,76.0,42.0,-42.0
410,Age of Empires II HD,68.0,65.0,3.0,3.0
411,Drakensang,75.0,61.0,14.0,14.0
412,LEGO Jurassic World,72.0,74.0,2.0,-2.0
413,World of Warcraft: Cataclysm,90.0,81.0,9.0,9.0
414,F1 2014,61.0,80.0,19.0,-19.0
415,Avernum: Escape From the Pit,76.0,73.0,3.0,3.0
416,Baldur's Gate II: Shadows of Amn,95.0,75.0,20.0,20.0
417,Hunt: Showdown,79.0,80.0,1.0,-1.0
418,FlatOut 2,76.0,85.0,9.0,-9.0
419,Bad Day L.A.,28.0,78.0,50.0,-50.0
420,Total War: Shogun 2 - Fall of the Samurai,86.0,86.0,0.0,0.0
421,Platformines,67.0,79.0,12.0,-12.0
422,Shaun White Snowboarding,61.0,78.0,17.0,-17.0
423,STAR WARS Knights of the Old Republic II - The Sith Lords,85.0,81.0,4.0,4.0
424,Fallout 4 VR,78.0,70.0,8.0,8.0
425,Redshirt,62.0,68.0,6.0,-6.0
426,Forts,74.0,72.0,2.0,2.0
427,FINAL FANTASY XV: EPISODE GLADIOLUS,59.0,66.0,7.0,-7.0
428,Star Conflict,75.0,72.0,3.0,3.0
429,Sekiro: Shadows Die Twice,90.0,80.0,10.0,10.0
430,War for the Overworld,65.0,70.0,5.0,-5.0
431,Blade Symphony,72.0,80.0,8.0,-8.0
432,Kingdom: Classic,74.0,81.0,7.0,-7.0
433,Kid Icarus: Uprising,83.0,78.0,5.0,5.0
434,Minimum,69.0,73.0,4.0,-4.0
435,Crazy Machines 2,72.0,75.0,3.0,-3.0
436,Teslagrad,77.0,72.0,5.0,5.0
437,Conflict: Desert Storm 2 - Back to Baghdad,69.0,80.0,11.0,-11.0
438,Call of Duty 2,86.0,91.0,5.0,-5.0
439,The Legend of Zelda: Ocarina of Time,99.0,71.0,28.0,28.0
440,Sunless Skies,87.0,66.0,21.0,21.0
441,Cat Quest,77.0,70.0,7.0,7.0
442,Murdered: Soul Suspect,59.0,59.0,0.0,0.0
443,Ys SEVEN,80.0,61.0,19.0,19.0
444,Secrets of Rætikon,58.0,79.0,21.0,-21.0
445,Sherlock Holmes: The Silver Earring,68.0,71.0,3.0,-3.0
446,Frozen Synapse Prime,83.0,85.0,2.0,-2.0
447,Alien: Isolation,81.0,72.0,9.0,9.0
448,The Golf Club 2,72.0,76.0,4.0,-4.0
449,They Are Billions,74.0,75.0,1.0,-1.0
450,Mario Tennis Aces,75.0,83.0,8.0,-8.0
451,Thronebreaker: The Witcher Tales,84.0,77.0,7.0,7.0
